,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
182,150.4694,0.27905,0.29333,0.31976,0.33944,0.35126
183,151.2894,0.27883,0.29304,0.31953,0.33932,0.35123
184,152.1194,0.27861,0.29275,0.3193,0.33921,0.3512
185,152.9494,0.27839,0.29246,0.31907,0.33909,0.35117
186,153.7694,0.27817,0.29217,0.31884,0.33898,0.35115
187,154.5994,0.27795,0.29188,0.31861,0.33886,0.35112
188,155.4294,0.27774,0.2916,0.31838,0.33874,0.35109
189,156.2494,0.27754,0.29132,0.31815,0.33863,0.35106
190,157.0794,0.27734,0.29104,0.31792,0.33851,0.35103
191,157.9094,0.27714,0.29076,0.3177,0.3384,0.351
192,158.7294,0.27693,0.29049,0.31747,0.33828,0.35097
193,159.5594,0.27673,0.29021,0.31724,0.33817,0.35094
194,160.3894,0.27653,0.28993,0.31702,0.33805,0.35091
195,161.2094,0.27633,0.28965,0.31679,0.33793,0.35088
196,162.0394,0.27617,0.28941,0.31657,0.33782,0.35085
197,162.8694,0.27602,0.28917,0.31636,0.33771,0.35083
198,163.6894,0.27587,0.28893,0.31614,0.3376,0.3508
199,164.5194,0.27571,0.28869,0.31593,0.33748,0.35077
200,165.3494,0.27556,0.28845,0.31572,0.33737,0.35074
201,166.1694,0.2754,0.28821,0.3155,0.33726,0.35071
202,166.9994,0.27525,0.28797,0.31529,0.33715,0.35068
203,167.8294,0.27509,0.28773,0.31508,0.33703,0.35065
204,168.6494,0.27494,0.28748,0.31486,0.33692,0.35062
205,169.4794,0.27478,0.28724,0.31465,0.33681,0.3506
206,170.3094,0.27463,0.287,0.31444,0.3367,0.35057
207,171.1294,0.27447,0.28676,0.31422,0.33658,0.35054
208,171.9594,0.27432,0.28652,0.31401,0.33647,0.35051
209,172.7894,0.27416,0.28628,0.3138,0.33636,0.35048
210,173.6094,0.27401,0.28604,0.31358,0.33625,0.35045
211,174.4394,0.27386,0.28581,0.31337,0.33613,0.35042
212,175.2694,0.27374,0.2856,0.31317,0.33602,0.35039
213,176.0894,0.27363,0.28539,0.31297,0.33591,0.35037
214,176.9194,0.27351,0.28518,0.31277,0.3358,0.35034
215,177.7494,0.2734,0.28497,0.31256,0.33569,0.35031
216,178.5694,0.27328,0.28476,0.31236,0.33558,0.35028
217,179.3994,0.27316,0.28455,0.31216,0.33548,0.35025
218,180.2294,0.27305,0.28435,0.31196,0.33537,0.35022
219,181.0494,0.27294,0.28414,0.31176,0.33526,0.3502
220,181.8794,0.27283,0.28394,0.31156,0.33515,0.35017
221,182.7094,0.27271,0.28374,0.31136,0.33504,0.35014
222,183.5294,0.2726,0.28353,0.31117,0.33493,0.35011
223,184.3594,0.27249,0.28333,0.31097,0.33482,0.35008
224,185.1894,0.27238,0.28312,0.31077,0.33472,0.35006
225,186.0094,0.27227,0.28292,0.31057,0.33461,0.35003
226,186.8394,0.27215,0.28271,0.31037,0.3345,0.35
227,187.6694,0.27206,0.28253,0.31018,0.33439,0.34997
228,188.4894,0.27199,0.28237,0.31,0.33429,0.34995
229,189.3194,0.27192,0.2822,0.30982,0.33418,0.34992
230,190.1494,0.27184,0.28204,0.30963,0.33408,0.34989
231,190.9794,0.27177,0.28187,0.30945,0.33398,0.34986
232,191.7994,0.27169,0.2817,0.30927,0.33387,0.34984
233,192.6294,0.27162,0.28154,0.30909,0.33377,0.34981
234,193.4594,0.27154,0.28137,0.3089,0.33366,0.34978
235,194.2794,0.27147,0.28121,0.30872,0.33356,0.34975
236,195.1094,0.27139,0.28104,0.30854,0.33346,0.34973
237,195.9394,0.27132,0.28088,0.30836,0.33335,0.3497
238,196.7594,0.27125,0.28071,0.30818,0.33325,0.34967
239,197.5894,0.27117,0.28054,0.30799,0.33314,0.34964
240,198.4194,0.2711,0.28038,0.30781,0.33304,0.34962
241,199.2394,0.27102,0.28022,0.30763,0.33294,0.34959
242,200.0694,0.27095,0.28005,0.30745,0.33283,0.34956
243,200.8994,0.27088,0.2799,0.30728,0.33273,0.34953
244,201.7194,0.27082,0.27974,0.3071,0.33263,0.34951
245,202.5494,0.27076,0.2796,0.30693,0.33252,0.34948
246,203.3794,0.27071,0.27947,0.30676,0.33242,0.34945
247,204.1994,0.27066,0.27934,0.3066,0.33232,0.34943
248,205.0294,0.27061,0.27921,0.30643,0.33222,0.3494
249,205.8594,0.27057,0.27908,0.30627,0.33212,0.34937
250,206.6794,0.27052,0.27894,0.3061,0.33203,0.34935
251,207.5094,0.27048,0.27881,0.30594,0.33193,0.34932
252,208.3394,0.27043,0.27868,0.30577,0.33183,0.34929
253,209.1594,0.27039,0.27855,0.30561,0.33173,0.34927
254,209.9894,0.27034,0.27842,0.30544,0.33163,0.34924
255,210.8194,0.2703,0.27829,0.30528,0.33153,0.34921
256,211.6394,0.27026,0.27816,0.30511,0.33143,0.34919
257,212.4694,0.27021,0.27803,0.30495,0.33133,0.34916
258,213.2994,0.27017,0.2779,0.30478,0.33123,0.34913
259,214.1194,0.27013,0.27778,0.30462,0.33114,0.34911
260,214.9494,0.2701,0.27767,0.30447,0.33104,0.34908
261,215.7794,0.27006,0.27756,0.30432,0.33094,0.34906
262,216.5994,0.27003,0.27745,0.30416,0.33085,0.34903
263,217.4294,0.27,0.27734,0.30401,0.33075,0.349
264,218.2594,0.26996,0.27724,0.30386,0.33065,0.34898
265,219.0794,0.26993,0.27713,0.3037,0.33056,0.34895
266,219.9094,0.26989,0.27701,0.30355,0.33046,0.34893
267,220.7394,0.26985,0.27689,0.30339,0.33037,0.3489
268,221.5594,0.26982,0.27677,0.30324,0.33027,0.34887
269,222.3894,0.26979,0.27667,0.30308,0.33018,0.34885
270,223.2194,0.26976,0.27656,0.30294,0.33008,0.34882
271,224.0394,0.26974,0.27647,0.3028,0.32999,0.3488
272,224.8694,0.26972,0.27639,0.30266,0.3299,0.34877
273,225.6994,0.2697,0.2763,0.30252,0.32981,0.34875
274,226.5194,0.26968,0.27621,0.30238,0.32972,0.34872
275,227.3494,0.26966,0.27612,0.30224,0.32963,0.3487
276,228.1794,0.26963,0.27603,0.30209,0.32954,0.34867
277,228.9994,0.26961,0.27594,0.30195,0.32944,0.34865
278,229.8294,0.2696,0.27585,0.30182,0.32935,0.34862
279,230.6594,0.26958,0.27577,0.30168,0.32926,0.3486
280,231.4794,0.26956,0.27569,0.30154,0.32918,0.34857
281,232.3094,0.26954,0.2756,0.30141,0.32909,0.34855
282,233.1394,0.26952,0.27552,0.30127,0.329,0.34852
283,233.9594,0.26951,0.27544,0.30114,0.32891,0.3485
284,234.7894,0.26949,0.27536,0.301,0.32882,0.34847
285,235.6194,0.26948,0.27528,0.30087,0.32873,0.34845
286,236.4494,0.26946,0.27522,0.30075,0.32865,0.34843
287,237.2694,0.26945,0.27516,0.30063,0.32856,0.3484
288,238.0994,0.26944,0.27509,0.30051,0.32848,0.34838
289,238.9294,0.26943,0.27503,0.30039,0.32839,0.34836
290,239.7494,0.26942,0.27497,0.30027,0.32831,0.34833
291,240.5794,0.26941,0.27491,0.30015,0.32823,0.34831
292,241.4094,0.2694,0.27485,0.30004,0.32815,0.34829
293,242.2294,0.26939,0.27479,0.29992,0.32806,0.34826
294,243.0594,0.26938,0.27472,0.2998,0.32798,0.34824
295,243.8894,0.26937,0.27466,0.29968,0.3279,0.34822
296,244.7094,0.26936,0.27459,0.29955,0.32781,0.34819
297,245.5394,0.26934,0.27453,0.29943,0.32773,0.34817
298,246.3694,0.26933,0.27446,0.29931,0.32764,0.34815
299,247.1894,0.26932,0.27439,0.29919,0.32756,0.34812
300,248.0194,0.26931,0.27433,0.29907,0.32748,0.3481
301,248.8494,0.2693,0.27426,0.29895,0.32739,0.34808
302,249.6694,0.26929,0.27421,0.29883,0.32731,0.34805
303,250.4994,0.26929,0.27416,0.29872,0.32723,0.34803
304,251.3294,0.26928,0.27411,0.29861,0.32716,0.34801
305,252.1494,0.26927,0.27405,0.2985,0.32708,0.34799
306,252.9794,0.26926,0.274,0.29839,0.327,0.34796
307,253.8094,0.26926,0.27396,0.29828,0.32692,0.34794
308,254.6294,0.26925,0.27391,0.29818,0.32684,0.34792
309,255.4594,0.26925,0.27386,0.29807,0.32676,0.3479
310,256.2894,0.26924,0.27382,0.29796,0.32668,0.34787
311,257.1094,0.26924,0.27377,0.29785,0.3266,0.34785
312,257.9394,0.26924,0.27373,0.29775,0.32653,0.34783
313,258.7694,0.26923,0.27369,0.29765,0.32645,0.34781
314,259.5894,0.26923,0.27365,0.29755,0.32638,0.34779
315,260.4194,0.26923,0.27362,0.29746,0.3263,0.34776
