,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
88,0.88764947,,,,,,1196.468859,-18.8204194,0.35290451,203755.7822,0.852371812,0.848129855,2.839859946,Ol1A
89,0.247783412,,,,,,1197.661026,-18.46767221,0.326966556,196346.1573,0.851665311,0.848139453,5.373332962,Ol1A
90,0.628505666,,,,,,1221.572503,-18.83587827,0.47454583,203697.3336,0.852014198,0.847985712,0.781860869,Ol1A
91,0.583950081,,,,,,1199.874603,-17.16382631,0.467247355,191346.9179,0.852064272,0.847820918,4.778259382,Ol1A
92,0.883966628,,,,,,1199.399299,-18.16549734,0.379347557,190697.43,0.851784014,0.84783795,4.476386951,Ol1A
93,0.936237204,,,,,,1187.408457,-18.47581517,0.330404618,205444.983,0.852050483,0.848152614,3.852155043,Ol1A
94,6.583506374,,,,,,1206.640259,-19.44031648,0.335199283,213712.7895,0.852060935,0.84785716,2.605536387,Ol1A
95,1.008112317,,,,,,1195.735558,-17.81436631,0.414350516,198058.5693,0.852476245,0.848049096,3.175674588,Ol1A
96,0.144753448,,,,,,1234.522012,-19.0262966,0.530724118,193683.5718,0.852391055,0.847982212,3.811249041,Ol1A
97,0.404331503,,,,,,1205.454993,-18.92301678,0.620350425,195920.8445,0.85243509,0.847972862,6.628900872,Ol1A
98,0.735928615,,,,,,1173.478523,-18.31535943,0.357337846,207526.4656,0.851933838,0.847857141,6.074467746,Ol1A
99,0.181782645,,,,,,1238.481682,-18.99431956,0.481848069,200031.1402,0.852352569,0.847944303,4.573786402,Ol1A
100,0.630257112,,,,,,1206.935879,-18.62045098,0.45838193,195129.5688,0.85247841,0.847890276,5.227675761,Ol1A
101,0.88078175,,,,,,1195.556748,-18.39657009,0.279599533,208092.7139,0.85192942,0.847929921,7.951194923,Ol1A
102,0.800876623,,,,,,1209.616021,-18.50163596,0.55322855,213331.0472,0.852096198,0.848135495,4.986037774,Ol1A
103,2.17943305,,,,,,1208.936948,-18.67615474,0.346461231,216246.2697,0.851791872,0.84784163,4.330302058,Ol1A
104,1.716076949,,,,,,1210.429274,-18.34590968,0.455167412,201280.8102,0.851761642,0.848087489,3.524163836,Ol1A
105,0.300008785,,,,,,1199.794605,-19.23373874,0.554240908,195266.2626,0.852130925,0.847938514,3.651272515,Ol1A
106,0.251981993,,,,,,1206.75764,-19.10757027,0.539901959,190298.0529,0.85234127,0.847927997,2.592951645,Ol1A
107,1.042366026,,,,,,1190.909133,-18.31683464,0.380964338,194418.6655,0.851752878,0.848048814,6.155821525,Ol1A
108,0.652516971,,,,,,1205.725048,-18.28740221,0.405713029,209935.8686,0.852203286,0.847871483,6.115130413,Ol1A
109,0.170278501,,,,,,1197.459594,-18.28409939,0.307001711,200373.2688,0.851622195,0.847996459,5.50851874,Ol1A
110,0.232376383,,,,,,1188.130112,-18.30001102,0.481717354,186154.0914,0.851613616,0.84801113,1.367526053,Ol1A
111,1.80410701,,,,,,1205.887422,-19.08700539,0.332754888,208847.2753,0.852023955,0.84782702,2.88828347,Ol1A
112,0.519212907,,,,,,1200.156481,-17.93248834,0.395205865,207410.8893,0.851710819,0.847859353,6.361347977,Ol1A
113,0.182497726,,,,,,1230.276026,-18.46499228,0.382881509,198675.5614,0.851943963,0.84813349,5.165029132,Ol1A
114,1.207293773,,,,,,1192.638365,-18.20417254,0.47174953,206621.4041,0.851786542,0.848102449,0.90145608,Ol1A
115,1.439916151,,,,,,1197.991274,-18.32806526,0.522427799,209531.9372,0.852052666,0.848154044,3.61398287,Ol1A
116,0.420884597,,,,,,1201.291405,-18.42850481,0.353109913,194907.2162,0.85174424,0.848120251,6.956515694,Ol1A
117,6.414594848,,,,,,1203.042137,-18.75751758,0.436467333,215057.0058,0.852083273,0.84796391,4.076143046,Ol1A
118,4.759858926,,,,,,1226.247416,-18.78325657,0.432212428,228290.2794,0.851786208,0.847940755,1.809391601,Ol1A
119,7.213471342,,,,,,1192.029347,-18.27838791,0.476799442,216921.4639,0.852064592,0.847886869,4.851346145,Ol1A
120,1.35571869,,,,,,1204.333813,-18.90354044,0.409400596,195046.5685,0.851746109,0.847936626,5.501408663,Ol1A
121,1.767985506,,,,,,1189.874177,-18.66238212,0.244244395,209299.0257,0.851747696,0.847814854,6.478777538,Ol1A
122,0.274660445,,,,,,1200.517069,-18.39869488,0.475988981,190874.2737,0.852441587,0.847862724,4.601446557,Ol1A
123,1.973399783,,,,,,1217.122455,-18.70156839,0.393742917,225876.6987,0.852199412,0.847895027,5.175123957,Ol1A
124,2.515797202,,,,,,1202.785595,-18.52723297,0.439748715,206977.9034,0.852357233,0.847844017,0.912349633,Ol1A
125,0.938860505,,,,,,1218.55483,-18.44281632,0.384077566,220868.4909,0.851701364,0.847990266,7.514607609,Ol1A
126,0.852577369,,,,,,1179.944243,-18.6220945,0.477852631,189678.6402,0.851560699,0.84810382,3.850561651,Ol1A
127,0.666051851,,,,,,1199.509678,-18.32207086,0.399856723,208148.5952,0.851674345,0.847868681,5.73483688,Ol1A
128,2.124275143,,,,,,1208.81236,-19.05950732,0.232993189,212808.9342,0.852315274,0.847837998,5.269811804,Ol1A
129,2.009598563,,,,,,1197.296391,-18.33421039,0.423277589,200387.6631,0.851520356,0.847857688,5.077908298,Ol1A
130,0.502803394,,,,,,1183.045449,-17.85738087,0.47057121,205731.1649,0.852138986,0.847885829,5.470618077,Ol1A
131,0.507338578,,,,,,1192.544006,-18.18085902,0.271407547,189515.9162,0.851879814,0.847871493,7.137920338,Ol1A
132,0.282575535,,,,,,1195.955207,-18.22014441,0.364736768,179956.5577,0.851843908,0.848091089,4.563742089,Ol1A
133,0.919291195,,,,,,1194.415841,-18.07374995,0.419293287,191282.4179,0.852236287,0.847938362,1.94097696,Ol1A
134,1.008047375,,,,,,1198.927599,-19.50470427,0.37980563,201530.3238,0.851575524,0.847936344,1.996754744,Ol1A
135,0.3490146,,,,,,1215.299568,-18.57113874,0.428137597,202421.4647,0.85241335,0.847911531,4.948565375,Ol1A
